Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18068486,La verdad sobre el caso Harry Quebert,Joël Dicker,"Dicker, Joël",Juan Carlos Durán Romero,"=""8420414069""","=""9788420414065""",3,4.16,Alfaguara,Paperback,672,2013,2012,2018/08/07,2018/08/02,,,read,,,,1,0
35479827,El rey Lear,William Shakespeare,"Shakespeare, William",,"=""""","=""""",4,3.91,Penguin Clásicos,Paperback,268,2016,1605,2017/10/25,2017/10/14,,,read,,,,1,0
45497,El alquimista,Paulo Coelho,"Coelho, Paulo",,"=""970051336X""","=""9789700513362""",4,3.90,Grijalbo,Paperback,203,2001,1988,2018/10/22,2018/09/19,,,read,,,,1,0
276859,El árbol de la ciencia,Pío Baroja,"Baroja, Pío",,"=""8420658804""","=""9788420658803""",0,3.69,Alianza Editorial,Paperback,255,2005,1911,,2018/10/10,to-read,to-read (#13),to-read,,,,0,0
103582,Crimen y castigo,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""8471662604""","=""9788471662606""",0,4.26,"Editorial Edaf, S.L.",Paperback,544,2001,1866,,2018/10/10,to-read,to-read (#12),to-read,,,,0,0
7960968,Canti,Giacomo Leopardi,"Leopardi, Giacomo","Franco Brioschi, Jonathan Galassi","=""0374235031""","=""9780374235031""",0,4.39,"Farrar, Straus and Giroux",Hardcover,528,2010,1845,,2016/01/06,to-read,to-read (#11),to-read,,,,0,0
54016,Todos los fuegos el fuego,Julio Cortázar,"Cortázar, Julio",,"=""9681675940""","=""9789681675943""",0,4.30,Fondo de Cultura Económica,Hardcover,198,2014,1966,,2016/09/04,to-read,to-read (#10),to-read,,,,0,0
3853137,La insoportable levedad del ser,Milan Kundera,"Kundera, Milan",Fernando Valenzuela,"=""8483835126""","=""9788483835128""",5,4.11,MaxiTusquets,Mass Market Paperback,336,2008,1984,2018/09/26,2018/09/19,,,read,,,,1,0
25094271,Reflexiones sobre las causas de la libertad y de la opresión social,Simone Weil,"Weil, Simone",,"=""""","=""""",5,4.07,Ediciones Godot,Kindle Edition,150,,1934,2018/08/13,2018/04/18,,,read,,,,1,0
21954673,La sociedad del cansancio,Byung-Chul Han,"Han, Byung-Chul",Arantzazu Saratxaga Arregi,"=""""","=""""",5,3.91,Herder,Kindle Edition,80,2012,2010,2018/06/18,2018/06/09,,,read,,,,1,0
